names(survey),full question
id,entry ID
gender,Which gender identity do you mostly identify to? 
pronoun,What are your preferred pronouns? 
nationality,What is your nationality?
affiliation,What is the country of your affiliation?
career,What is your career stage? 
career_other,What is your career stage? Free text response to 'other'
lgbtq,Do you identify as LGBTQIA+? 
age,Which age category do you belong to? 
attend_congress,Did you attend the congress? 
read_inclusivity,"Did you read our inclusivity and accessibility page before making your decision to attend the Congress? (this page included information about childcare, special needs, safe-space measures and the Code of Conduct) "
inclusivity_decision,Did our inclusivity and accessibility page play a role in your decision to attend the congress? 
convene_symposium,Did you convene a symposium? 
rejected_invitations,Did you invite any researchers to speak in your symposium who rejected the invitation? 
rejected_invitations_info,Did you invite any researchers to speak in your symposium who rejected the invitation?  Free text response
reason_nonattend_time,Why did you not participate? I had other commitments during the timeframe of the congress
reason_nonattend_funding,Why did you not participate? My university/institutional funding did not cover this and I did not manage to secure additional funding
reason_nonattend_programme,Why did you not participate? The programme was not within my scope of research
reason_nonattend_distance,Why did you not participate? The location was too far
reason_nonattend_location,Why did you not participate? The location was not attractive enough
reason_nonattend_visa,Why did you not participate? Visa related issues
reason_nonattend_caring,Why did you not participate? Caring duties
reason_nonattend_eventsize,Why did you not participate? I did not feel comfortable being at such a large international scientific event
reason_nonattend_rejection,Why did you not participate? My abstract got rejected for the type of presentation that I wanted to give
reason_nonattend_other,Why did you not participate? Other
expertise_rating,I am an expert in my field 
understanding_rating,I fully understand the work presented in the talks that I attended 
english_comfort_rating,I feel comfortable speaking in English 
discrimination,Did you experience discrimination and/or harassment (of any sort) at the congress? 
report_discrimination,Did you report the case to the Awareness team? 
discrimination_witness,Did you witness someone else experience discrimination and/or harassment at the congress? 
report_discrimination_witness,Did you report the case to the Awareness Team? 
feeling_heard_rating,"I felt heard during the conversations I had, both during Q&A sessions and social activities "
comfort_being_yourself_rating,I felt comfortable being myself 
sense_of_belonging_rating,Attending the Behaviour 2023 congress helped me feel like I belong in my research field 
ask_questions,Did you ask one or more questions during Q&A sessions? 
reason_question_interest,"At this congress and in general, what is/are your main motivation(s) to ask a question? (select all that apply)  Interest in the topic"
reason_question_voiceheard,"At this congress and in general, what is/are your main motivation(s) to ask a question? (select all that apply) Making my voice heard"
reason_question_appreciate,"At this congress and in general, what is/are your main motivation(s) to ask a question? (select all that apply)  Appraising the speaker's work"
