Person ID	Career	Pronouns	LGBTQ	Nationality	Needs	Child
484845	Post doctorate or almost	Male	No answer	Spanish	NA	
487275	"Students (BSc, MSc, PhD)"	Female	No answer	NA	NA	
499887	"Senior position, lecturers, researchers"	Female	No	Hungarian	-	
488471	"Students (BSc, MSc, PhD)"	Female	No	Nigerian	NA	
479352	Post doctorate or almost	Male	No	Mexican	NA	
485169	Post doctorate or almost	Female	No answer	Belgian	NA	
485957	"Students (BSc, MSc, PhD)"	Female	No	Japanese	NA	
487378	"Students (BSc, MSc, PhD)"	Male	No	Spanish	NA	
504544	"Students (BSc, MSc, PhD)"	Female	No	Finnish	NA	
486969	"Students (BSc, MSc, PhD)"	Female	No	Hungarian	NA	
487379	Post doctorate or almost	Male	No answer	German	NA	
497608	"Students (BSc, MSc, PhD)"	Female	No	Dual nationality	NA	
486603	"Students (BSc, MSc, PhD)"	Female	No	French	NA	
499156	"Students (BSc, MSc, PhD)"	Male	Yes	Brazilian	NA	
496506	"Senior position, lecturers, researchers"	Male	No	Colombian	NA	
500059	"Students (BSc, MSc, PhD)"	Male	No	Indian	NA	
487202	"Students (BSc, MSc, PhD)"	Female	No	Ecuadorian	NA	
487197	Post doctorate or almost	Male	No answer	NA	NA	
485563	"Students (BSc, MSc, PhD)"	Female	No	NA	NA	
485396	Professor or associate	Male	No	British	NA	
500381	"Students (BSc, MSc, PhD)"	Female	No	Colombian	NA	
497842	Professor or associate	Female	No	German	NA	
487405	"Students (BSc, MSc, PhD)"	No answer	No answer	NA	NA	
486904	"Students (BSc, MSc, PhD)"	Female	No	Indian	NA	
504734	Professor or associate	Female	No	German	NA	
504079	"Students (BSc, MSc, PhD)"	Female	No answer	Canadian	NA	
490278	Professor or associate	Female	Yes	Canadian	NA	
487085	"Students (BSc, MSc, PhD)"	Male	No	Indian	NA	
497562	"Students (BSc, MSc, PhD)"	Female	Yes	Italian	NA	
486720	"Students (BSc, MSc, PhD)"	Female	No	NA	NA	
502298	"Students (BSc, MSc, PhD)"	Female	No	Indian	NA	
